product_id,product_external_id,variation_id,variation_external_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,description,short_description,ncm,images,price,price_compare,model,gender,age_group,active,brand,category_1,category_2,category_3,gtin,mpn,stock,color,first_attribute_group,first_attribute_value,second_attribute_group,second_attribute_value,sku
9883347,VNTZZ,,,Vela Preta Glitter - N?,/vela-preta-glitter-interrogacao,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N? | Decoração de Festa","Vela Preta Glitter - N? para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N?</strong></p><p>A <strong>Vela Preta Glitter - N?</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: ?</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N?</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,4,,,,,,
 9883347,VNTZZ,28733410,VNTZZ,,,,,,,"Vela Preta Glitter - N? | Decoração de Festa","Vela Preta Glitter - N? para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N?</strong></p><p>A <strong>Vela Preta Glitter - N?</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: ?</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N?</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101185,,4,,,,,,
9883337,VNT00,,,Vela Preta Glitter - N0,/vela-preta-glitter-numero-0,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N0 | Decoração de Festa","Vela Preta Glitter - N0 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N0</strong></p><p>A <strong>Vela Preta Glitter - N0</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 0</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N0</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,6,,,,,,
 9883337,VNT00,28733400,VNT00,,,,,,,"Vela Preta Glitter - N0 | Decoração de Festa","Vela Preta Glitter - N0 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N0</strong></p><p>A <strong>Vela Preta Glitter - N0</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 0</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N0</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101086,,6,,,,,,
9883338,VNT01,,,Vela Preta Glitter - N1,/vela-preta-glitter-numero-1,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N1 | Decoração de Festa","Vela Preta Glitter - N1 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N1</strong></p><p>A <strong>Vela Preta Glitter - N1</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 1</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N1</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,1,,,,,,
 9883338,VNT01,28733401,VNT01,,,,,,,"Vela Preta Glitter - N1 | Decoração de Festa","Vela Preta Glitter - N1 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N1</strong></p><p>A <strong>Vela Preta Glitter - N1</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 1</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N1</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101093,,1,,,,,,
9883339,VNT02,,,Vela Preta Glitter - N2,/vela-preta-glitter-numero-2,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N2 | Decoração de Festa","Vela Preta Glitter - N2 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N2</strong></p><p>A <strong>Vela Preta Glitter - N2</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 2</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N2</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,5,,,,,,
 9883339,VNT02,28733402,VNT02,,,,,,,"Vela Preta Glitter - N2 | Decoração de Festa","Vela Preta Glitter - N2 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N2</strong></p><p>A <strong>Vela Preta Glitter - N2</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 2</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N2</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101109,,5,,,,,,
9883340,VNT03,,,Vela Preta Glitter - N3,/vela-preta-glitter-numero-3,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N3 | Decoração de Festa","Vela Preta Glitter - N3 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N3</strong></p><p>A <strong>Vela Preta Glitter - N3</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 3</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N3</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,4,,,,,,
 9883340,VNT03,28733403,VNT03,,,,,,,"Vela Preta Glitter - N3 | Decoração de Festa","Vela Preta Glitter - N3 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N3</strong></p><p>A <strong>Vela Preta Glitter - N3</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 3</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N3</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101116,,4,,,,,,
9883341,VNT04,,,Vela Preta Glitter - N4,/vela-preta-glitter-numero-4,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N4 | Decoração de Festa","Vela Preta Glitter - N4 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N4</strong></p><p>A <strong>Vela Preta Glitter - N4</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 4</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N4</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,3,,,,,,
 9883341,VNT04,28733404,VNT04,,,,,,,"Vela Preta Glitter - N4 | Decoração de Festa","Vela Preta Glitter - N4 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N4</strong></p><p>A <strong>Vela Preta Glitter - N4</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 4</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N4</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101123,,3,,,,,,
9883342,VNT05,,,Vela Preta Glitter - N5,/vela-preta-glitter-numero-5,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N5 | Decoração de Festa","Vela Preta Glitter - N5 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N5</strong></p><p>A <strong>Vela Preta Glitter - N5</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 5</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N5</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,7,,,,,,
 9883342,VNT05,28733405,VNT05,,,,,,,"Vela Preta Glitter - N5 | Decoração de Festa","Vela Preta Glitter - N5 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N5</strong></p><p>A <strong>Vela Preta Glitter - N5</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 5</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N5</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101130,,7,,,,,,
9883343,VNT06,,,Vela Preta Glitter - N6,/vela-preta-glitter-numero-6,"0,000",0.00,0.00,0.00,"Vela Preta Glitter - N6 | Decoração de Festa","Vela Preta Glitter - N6 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N6</strong></p><p>A <strong>Vela Preta Glitter - N6</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 6</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N6</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",95059000,,7.90,,,,,0,,,,,,,4,,,,,,
 9883343,VNT06,28733406,VNT06,,,,,,,"Vela Preta Glitter - N6 | Decoração de Festa","Vela Preta Glitter - N6 para bolo. Vela preta com acabamento em glitter, moderna e elegante, ideal para aniversários e comemorações especiais.",,"<p><strong>✨ Descrição completa — Vela Preta Glitter - N6</strong></p><p>A <strong>Vela Preta Glitter - N6</strong> é perfeita para destacar o bolo e deixar a comemoração ainda mais especial.</p><p>Com acabamento em <strong>glitter preto</strong>, combina com festas modernas, temáticas e adultos.</p><p><strong>🎉 Ideal para diversas ocasiões</strong></p><ul><li>Aniversários adultos</li><li>Festas temáticas (preto e dourado, preto e prata, etc.)</li><li>Comemorações especiais</li></ul><p><strong>⭐ Por que escolher este produto?</strong></p><ul><li>Visual sofisticado e diferente</li><li>Ótimo destaque no bolo</li><li>Fácil de posicionar e usar</li></ul><p><strong>📋 Especificações do produto</strong></p><ul><li>Material: parafina</li><li>Tipo: vela decorativa para bolo</li><li>Número: 6</li></ul><p><strong>ℹ️ Informações importantes</strong></p><ul><li>As cores podem variar levemente conforme a tela do dispositivo.</li><li>Produto indicado para uso decorativo.</li></ul><p><strong>🚚 Frete e prazo</strong></p><p>Calcule o frete e o prazo de entrega informando seu CEP antes de finalizar a compra.</p><p><strong>💡 Dica</strong></p><p>Combine com toppers e balões na mesma paleta para criar uma mesa sofisticada.</p><p><strong>❤️ Garanta a sua</strong></p><p>Garanta agora a <strong>Vela Preta Glitter - N6</strong> e deixe sua comemoração ainda mais especial!</p>","Vela preta com glitter para bolo, perfeita para destacar a decoração em festas modernas e temáticas.",,,,,,,,0,,,,,7591543101147,,4,,,,,,
